CUSTOMER ID,SALES REPRESENTATIVE ID,MATERIAL NUMBER,PER UNIT SALES PRICE,UNIT OF MEASURE,QUANTITY SOLD,,TRANSACTION DATE
CUST001,SREP01,MAT001,2,EA,1,,19980304
CUST002,SREP02,MAT002,2,EA,2,,19990526
CUST003,SREP03,MAT003,5,EA,4,,20000101
CUST004,SREP04,MAT004,50,EA,5,,19991023
CUST005,SREP05,MAT006,200,EA,8,,19991108
CUST006,SREP06,MAT007,20,EA,9,,20000408
CUST007,SREP07,MAT008,3,EA,10,,20000901
CUST008,SREP08,MAT009,2,EA,3,,19980203
CUST009,SREP09,MAT010,15,EA,5,,20000407
CUST010,SREP10,MAT010,15,EA,8,,19990924
